objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,pelicula,produccion,foto,arte,sonido,color,duracion,type,format,language,rights,rightsstatement
coll033,baulchorro.jpg,,,baul_chorroquevedo,Libia Stella Gómez,2005,La historia transcurre en los años cuarenta y comienza cuando se descubre el contenido de un baúl que ha sido dejado como encomienda en la Estación de Tren¸ con un destinatario y un remitente falsos. La investigación de este caso¸ dirigida por el detective Mariano Corzo¸ se torna tremendamente exitosa en los medios impresos. El periodista Hipólito Mosquera se encarga de llevar a cabo su propia versión¸ publicando información clasificada y tergiversando las pistas que van apareciendo. En el transcurso del caso¸ Mariano Corzo descubre que otro detective¸ Álvaro Rosas¸ es quien vende información a los periodistas y¸ gracias a la ayuda de Martina -la mujer que maneja el café-tertuliadero-¸ descubre las pistas que le permitirán descifrar el caso.,Centro;Candelaria,"Bogotá,Colombia",4.5972017851,-74.0696373102,Drama,Cl. 12b #22 2-98,La historia del baúl rosado,Federico Duran,Mauricio Vidal,Ángelica Perea,Juan Carlos Prieto,Color,105 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll034,baulpasaje.jpg,,,baul_pasajehernandez,Libia Stella Gómez,2005,La historia transcurre en los años cuarenta y comienza cuando se descubre el contenido de un baúl que ha sido dejado como encomienda en la Estación de Tren¸ con un destinatario y un remitente falsos. La investigación de este caso¸ dirigida por el detective Mariano Corzo¸ se torna tremendamente exitosa en los medios impresos. El periodista Hipólito Mosquera se encarga de llevar a cabo su propia versión¸ publicando información clasificada y tergiversando las pistas que van apareciendo. En el transcurso del caso¸ Mariano Corzo descubre que otro detective¸ Álvaro Rosas¸ es quien vende información a los periodistas y¸ gracias a la ayuda de Martina -la mujer que maneja el café-tertuliadero-¸ descubre las pistas que le permitirán descifrar el caso.,Centro;Candelaria,"Bogotá,Colombia",4.60030207722,-74.0759910423,Drama,Entre Carrera 8 y Carrera 9 Cl. 12 #8-62,La historia del baúl rosado,Federico Duran,Mauricio Vidal,Ángelica Perea,Juan Carlos Prieto,Color,105 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll035,baulnuestraseñora.jpg,,,baul_iglesia_nuestraseñora,Libia Stella Gómez,2005,La historia transcurre en los años cuarenta y comienza cuando se descubre el contenido de un baúl que ha sido dejado como encomienda en la Estación de Tren¸ con un destinatario y un remitente falsos. La investigación de este caso¸ dirigida por el detective Mariano Corzo¸ se torna tremendamente exitosa en los medios impresos. El periodista Hipólito Mosquera se encarga de llevar a cabo su propia versión¸ publicando información clasificada y tergiversando las pistas que van apareciendo. En el transcurso del caso¸ Mariano Corzo descubre que otro detective¸ Álvaro Rosas¸ es quien vende información a los periodistas y¸ gracias a la ayuda de Martina -la mujer que maneja el café-tertuliadero-¸ descubre las pistas que le permitirán descifrar el caso.,Centro;Candelaria,"Bogotá,Colombia",4.59451873655,-74.0750307946,Drama,Cra. 5 #8-36,La historia del baúl rosado,Federico Duran,Mauricio Vidal,Ángelica Perea,Juan Carlos Prieto,Color,105 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll036,baulnovena.jpg,,,baul_callenovena,Libia Stella Gómez,2005,La historia transcurre en los años cuarenta y comienza cuando se descubre el contenido de un baúl que ha sido dejado como encomienda en la Estación de Tren¸ con un destinatario y un remitente falsos. La investigación de este caso¸ dirigida por el detective Mariano Corzo¸ se torna tremendamente exitosa en los medios impresos. El periodista Hipólito Mosquera se encarga de llevar a cabo su propia versión¸ publicando información clasificada y tergiversando las pistas que van apareciendo. En el transcurso del caso¸ Mariano Corzo descubre que otro detective¸ Álvaro Rosas¸ es quien vende información a los periodistas y¸ gracias a la ayuda de Martina -la mujer que maneja el café-tertuliadero-¸ descubre las pistas que le permitirán descifrar el caso.,Centro;Candelaria,"Bogotá,Colombia",4.595227877742,-74.07440090285,Drama,Calle novena con carrera quinta,La historia del baúl rosado,Federico Duran,Mauricio Vidal,Ángelica Perea,Juan Carlos Prieto,Color,105 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll037,huelemalelnogal.jpg,,,huele_mal_elnogal,Jorge Alí Triana,2007,"Basada en un hecho real, Esto huele mal es una historia de seducción, mentira e infidelidad. Nada pone en peligro la vida íntima que tiene Ricardo Caicedo, destacado hombre de negocios, hasta la noche trágica en que sucede la explosión de la bomba en el atentado al Club El Nogal de Bogotá. A partir de este momento todo se desploma en su vida y tendrá que armar una sofisticada y complicada mentira para sostener ante su esposa que él se encontraba en ese lugar, en una reunión de negocios, tal como se lo había hecho creer, y no donde su amante Manuela. Como una bola de nieve, la mentira de Ricardo se vuelve incontrolable y va convirtiéndose en una tragedia para él. Al final, la única justicia posible será la verdad",Norte;Chapinero,"Bogotá,Colombia",4.660533188514,-74.05102869847,Comedia,Cra. 7 #78-96,Esto huele mal,"""Claria María Ochoa, CMO Producciones""",Juan Cristobal Cobo,Julián Hoyos,Leonel Pedraza,Color,100 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll038,miguelpasaje.jpg,,,miguel_pasajehernandez,Juan Fisher,2007,"Miguel es un político joven que proviene de una familia adinerada. Ha visto el mundo desde una situación privilegiada y ha hecho una carrera brillante. Pero los azares de la vida lo transforman en un cadáver sin identificación, un NN, y en la mesa de las autopsias revive para horror del médico y de sus asesinos. Miguel huye y descubre que no tiene memoria: no sabe quién es. Miguel se busca a sí mismo en una ciudad que desconoce, con unos hombres que desconoce, acosado por imágenes de su pasado y de sueños que no sabe qué son ni qué quieren decir. Desde la ignorancia absoluta de sí mismo, Miguel vive el drama de la calle y participa del espectáculo que vio siempre desde la ventanilla de su automóvil. Sobrevive gracias al amor de un travesti rezandero y libertino; a la solidaridad de marginales que siempre despreció y que jamás tuvo en cuenta; a la complicidad de un cartonero que prepara ricas sopas, y experimentará el horror, la embriaguez y la fascinación de estar más allá de todo y de ser ajeno hasta de sí mismo. El político ya no existe. El Miguel de hoy carece de pasado y de futuro. Pero Miguel se busca y trata de encontrar su ser esencial y lucha por hallar, si la hay, una redención.",Centro;Candelaria,"Bogotá,Colombia",4.600101288151,-74.07608551156,Drama, Cl. 12 #8-62,Buscando a Miguel,Erwin Goggle,Edgar Gil,Claudia Fisher,Darin Hallinan,Color,107 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll039,sociedadsemaforo.jpg,,,sociedad_semaforo,Ruben Mendoza,2010,"""La sociedad del semáforo"" cuenta la historia de Raúl Tréllez, un desplazado chocoano con incipientes conocimientos en ingeniería eléctrica, que trabaja como reciclador en Bogotá y está empeñado en la idea de crear un mecanismo para hacer durar el semáforo enrojo el tiempo que quieran los vendedores,malabaristas y lisiados que allí se ganan la vida, de tal forma que se puedan montar actos más largos. Delos reinos de la alucinación a la cruda realidad, el sueño va tomando forma casi circense en medio de diferentes personajes que acaban en una gran celebración de la anarquía",Centro;Candelaria,"Bogotá,Colombia",4.593894052079,-74.07412055265,Drama,Calle séptima con carrera cuarta,La sociedad del semáforo,,"""Diana Camargo, Dia-fragma Fábrica de películas""",Oscar Navarro,Cesar Salazar,Color,108 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll040,sociedadseptima.jpg,,,sociedad_carreraseptima,Ruben Mendoza,2010,"""La sociedad del semáforo"" cuenta la historia de Raúl Tréllez, un desplazado chocoano con incipientes conocimientos en ingeniería eléctrica, que trabaja como reciclador en Bogotá y está empeñado en la idea de crear un mecanismo para hacer durar el semáforo enrojo el tiempo que quieran los vendedores,malabaristas y lisiados que allí se ganan la vida, de tal forma que se puedan montar actos más largos. Delos reinos de la alucinación a la cruda realidad, el sueño va tomando forma casi circense en medio de diferentes personajes que acaban en una gran celebración de la anarquía",Centro;Candelaria,"Bogotá,Colombia",4.6025897902,-74.072613688,Drama,Calle 16 # 6 - 66,La sociedad del semáforo,,"""Diana Camargo, Dia-fragma Fábrica de películas""",Oscar Navarro,Cesar Salazar,Color,108 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll041,karenmusoro.jpg,,,karenllora_enunbus_museooro,Gabriel Rojas Vera,2011,"Luego de diez años de vivir en una ""jaula de oro"" y de haberse dedicado por completo a su marido, Karen se da cuenta de lo que ha dejado atras. Harta de todo, decide abandonar a su esposo y partir. Con sus ahorros alquila una habitación en el centro de Bogotá y trata de conseguir un trabajo, pero su edad e inexperiencia hacen que sea imposible. Pronto tendrá que decidir entre volver a su antigua estabilidad arriesgando la nueva libertad adquirida o, por primera vez, enfrentar por si misma la crueldad de la vida",Centro;Candelaria,"Bogotá,Colombia",4.6013171255,-74.073213462,Drama,Av. Jiménez entre Carrera 6 y Av.Carrera 7,Karen llora en un bus,"""CAJA NEGRA PRODUCCIONES, Alejandro Prieto, Augusto Sandino""",Manuel Castañeda,Ramses Benjumea,Carlos Rincón,Color,98 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll042,karenavjimenez.jpg,,,karenllora_enunbus_jimenez,Gabriel Rojas Vera,2011,"Luego de diez años de vivir en una ""jaula de oro"" y de haberse dedicado por completo a su marido, Karen se da cuenta de lo que ha dejado atras. Harta de todo, decide abandonar a su esposo y partir. Con sus ahorros alquila una habitación en el centro de Bogotá y trata de conseguir un trabajo, pero su edad e inexperiencia hacen que sea imposible. Pronto tendrá que decidir entre volver a su antigua estabilidad arriesgando la nueva libertad adquirida o, por primera vez, enfrentar por si misma la crueldad de la vida",Centro;Candelaria,"Bogotá,Colombia",46.0069012848, -74.071495602,Drama,Av Jimenez con Carrera 5,Karen llora en un bus,"""CAJA NEGRA PRODUCCIONES, Alejandro Prieto, Augusto Sandino""",Manuel Castañeda,Ramses Benjumea,Carlos Rincón,Color,98 minutos,Image;StillImage,image/jpeg,es,Public domain,none
